posted_date,company_name,job_title,salary,position_level,qualification,years_of_experience,job_type,job_specialisation,industry,company_size
Posted 12 hours ago,UA Materials Sdn Bhd,Sales Coordinator,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Sales - Corporate",Manufacturing / Production,51 - 200 Employees
Posted 11 hours ago,UNITED WOODWORK & CONSTRUCTION,Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Wood / Fibre / Paper,51 - 200 Employees
Posted 12 hours ago,Goldvest Enterprise,Goods Delivery Driver,,Not Specified,Not Specified,,Full-Time,"Others,General Work",General & Wholesale Trading,1 - 50 Employees
Posted 11 hours ago,Citi,Cash & Trade Proc IntmdAnalyst,,Not Specified,Not Specified,,,"Accounting/Finance,Banking/Financial",Banking / Financial Services,2001 - 5000 Employees
Posted on 12-Mar-22,Dell,Customer Services Specialist,,Not Specified,Not Specified,,,"Services,Customer Service",Computer/Information Technology (Hardware),2001 - 5000 Employees
Posted 12 hours ago,Analog Devices,"Sr Staff Eng, Assy NPI Eng",,Not Specified,Not Specified,,Full-Time,"Engineering,Electronics",Electrical & Electronics,1001 - 2000 Employees
Posted 12 hours ago,NM CONNECTOR,Manufacturing Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",,
Posted 11 hours ago,ZONTRON PHARMACEUTICALS,SALES CLERK,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Sales - Corporate",Chemical/Fertilizers/Pesticides,51 - 200 Employees
Posted on 4-Mar-22,Ivy Technology Global Services Malaysia,Planner,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Electrical & Electronics,201 - 500 Employees
Posted on 13-Mar-22,SRI TANJUNG MEDICARE,Physiotherapist,,Not Specified,Not Specified,,Full-Time,"Healthcare,Practitioner/Medical Asst",Healthcare / Medical,51 - 200 Employees
Posted on 9-Mar-22,BINSEN PLASTIC INDUSTRY,STOREKEEPER,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,51 - 200 Employees
Posted 12 hours ago,Micron Semiconductors,RBA Specialist,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Quality Assurance",,
Posted 12 hours ago,G-SHANK ENTERPRISE,PRODUCTION OPERATOR,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted on 9-Mar-22,Jabil,Assistant Planner,,Not Specified,Not Specified,,Full-Time,"Engineering,Electrical",Electrical & Electronics,More than 5000 Employees
Posted 11 hours ago,Radical Internetwork,Project Supervisor,,Not Specified,Not Specified,,Temporary,"Services,Logistics/Supply Chain",Computer / Information Technology (Software),1 - 50 Employees
Posted on 27-Feb-22,PENTAMASTER EQUIPMENT MANUFACTURING,Logistics Executive,,Not Specified,Not Specified,,Full-Time,"Services,Logistics/Supply Chain",Manufacturing / Production,201 - 500 Employees
Posted on 4-Mar-22,Goh Brothers Motor,Parts Store Officer,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Purchasing/Material Mgmt",Automobile / Automotive Ancillary / Vehicle,1 - 50 Employees
Posted 12 hours ago,Victory Wizards,Management Trainee,,Not Specified,Not Specified,,Full-Time,"Computer/Information Technology,IT-Software",Education,1 - 50 Employees
Posted 11 hours ago,TRANSPAK PENANG,OPERATOR,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1 - 50 Employees
Posted 12 hours ago,BGM POLO,store operator,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Retail Sales",Textiles/Garment,1 - 50 Employees
Posted on 9-Mar-22,Hotayi Electronic,Purchasing Manager,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,1001 - 2000 Employees
Posted 11 hours ago,Aviatron,General Worker,,Not Specified,Not Specified,,Full-Time,"Sales/Marketing,Marketing/Business Dev",Aerospace / Aviation / Airline,201 - 500 Employees
Posted 12 hours ago,G-SHANK ENTERPRISE,Assembly Operator,,Not Specified,Not Specified,,Full-Time,"Manufacturing,Manufacturing",Manufacturing / Production,201 - 500 Employees
Posted 11 hours ago,STEEL WORLD RESOURCES,GENERAL WORKER,,Not Specified,Not Specified,,Contract,"Manufacturing,Manufacturing",Construction / Building / Engineering,1 - 50 Employees
